1 : 4  2√
2 : 4  1√
3 : 4  2! 5√ 1! 2√
4 : 4 
5 : 4  2! 5√
6 : 4  2! 5√ 1! 2√ 1!
7 : 4  2! 5√ 1! 2√ 3! 11√
8 : 4  2! 4√ 1! 3√ 1! 15√ 1! 4√
9 : 4  2! 4√ 1! 4√ 1! 6√ 1! 10√
10 : 4  2! 5√ 1! 1√
11 : 4  2! 5√ 1! 2√ 2! 1√ 1! 3√ 1! 12√ 1! 5√
12 : 4  2! 3√ 1! 11√ 1! 2√ 1! 9√ 1! 9√
13 : 4  2! 4√ 1! 4√ 1! 6√ 1! 9√ 1! 7√
14 : 4  2! 3√ 1! 11√
15 : 4  2! 3√ 1! 10√ 1! 7√ 1! 12√
16 : 4  2! 3√ 1! 11√ 1! 2√ 1! 10√
17 : 4  2! 5√ 2! 7√ 1! 5√
18 : 4  2! 5√ 2! 7√ 1! 4√ 1! 9√
19 : 4  2! 5√ 1! 2√ 3! 10√ 1! 5√ 1! 7√
20 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√ 1! 4√
21 : 4  2! 4√ 1! 4√ 1! 7√
22 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√
23 : 4  2! 3√ 1! 11√ 1! 3√
24 : 4  1!
25 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√
26 : 4  2! 5√ 1! 2√ 2! 1√
27 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√ 1! 4√ 1! 3√ 1! 8√
28 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 12√ 1! 6√
29 : 4  2! 3√ 1! 11√ 1! 3√ 1! 3√ 1! 10√
30 : 4  2! 4√
31 : 4  2! 5√ 1! 2√ 2! 1√ 1! 3√ 1! 12√
32 : 4  2! 3√ 1! 10√ 1! 7√ 1! 12√ 1! 3√
33 : 4  2! 5√ 1! 2√ 3! 10√ 1! 5√ 1! 6√ 1! 9√
34 : 4  2! 5√ 2! 6√ 1! 10√ 1! 12√
35 : 4  2! 5√ 2! 7√
36 : 4  2! 5√ 1! 2√ 3! 11√ 1! 1√ 1! 6√
37 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√
38 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 3√ 1! 10√ 1! 13√ 1! 7√ 1! 7√
39 : 4  2! 4√ 1! 3√ 1! 15√ 1! 3√ 1! 5√ 1! 10√ 1! 5√
40 : 4  2! 3√ 1! 11√ 1! 3√ 1! 3√ 1! 9√ 1! 9√ 1! 15√
41 : 4  2! 3√ 1! 10√ 1! 8√
42 : 4  2! 4√ 1! 3√ 1! 15√ 1! 3√ 1! 5√ 1! 10√
43 : 4  2! 5√ 1! 1√ 1! 2√
44 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√
45 : 4  2! 5√ 1! 2√ 3! 9√ 1! 12√ 1! 5√ 1! 11√ 1! 11√ 1! 9√
46 : 4  2! 5√ 1! 2√ 2! 1√ 1! 4√
47 : 4  2! 5√ 1! 2√ 3! 9√ 1! 12√ 1! 6√
48 : 4  2! 4√ 1! 3√ 1! 14√ 1! 8√ 1! 8√ 1! 9√ 1! 6√ 1! 10√ 1! 6√ 1! 14√
49 : 4  2! 4√ 1! 3√ 1! 15√ 1! 2√ 1! 13√
50 : 4  2! 5√ 1! 2√ 3! 10√
51 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√ 1! 4√ 1! 3√ 1! 7√ 1! 10√ 1! 6√
52 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 12√ 1! 7√
53 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 8√
54 : 4  2! 5√ 1! 2√ 2! 1√ 1! 3√ 1! 12√ 1! 4√ 1! 7√
55 : 4  2! 5√ 1! 2√ 3! 10√ 1! 4√ 1! 14√ 1! 7√ 1! 12√
56 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 13√ 1! 14√ 1! 4√
57 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 11√ 1! 13√
58 : 4  2! 5√ 1! 2√ 3! 11√ 1! 1√ 1! 5√ 1! 11√
59 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 13√ 1! 2√ 1! 5√ 1! 13√
60 : 4  2! 4√ 1! 4√ 1! 6√ 1! 10√ 1! 1√ 1! 9√ 1! 9√ 1! 9√
61 : 4  2! 4√ 1! 3√ 1! 15√ 1! 2√ 1! 13√ 1! 4√ 1! 14√
62 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 11√ 1! 13√ 1! 5√ 1! 8√ 1! 6√
63 : 4  2! 5√ 1! 2√ 2! 1√ 1! 4√ 1! 5√
64 : 4  2! 5√ 1! 1√ 1! 1√ 1! 11√ 1! 8√ 1! 13√ 1! 9√ 1! 9√
65 : 4  2! 4√ 1! 3√ 1! 15√ 1! 3√
66 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 12√
67 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 13√ 1! 2√ 1! 6√
68 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√ 1! 3√ 1! 9√
69 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 12√ 1! 6√ 1! 4√
70 : 4  2! 5√ 1! 2√ 3! 11√ 1! 1√
71 : 4  2! 4√ 1! 4√ 1! 6√ 1! 8√ 1! 14√ 1! 6√
72 : 4  2! 5√ 1! 2√ 3! 10√ 1! 5√ 1! 7√ 1! 2√ 1! 15√ 1! 6√ 1! 15√
73 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 3√ 1! 11√
74 : 4  2! 5√ 1! 2√ 3! 9√ 1! 12√
75 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 5√ 1! 4√ 1! 3√ 1! 7√ 1! 10√
76 : 4  2! 4√ 1! 3√ 1! 15√ 1! 3√ 1! 5√ 1! 10√ 1! 5√ 1! 4√ 1! 10√
77 : 4  2! 5√ 1! 1√ 1! 1√ 1! 11√ 1! 9√ 1! 6√
78 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 11√ 1! 13√ 1! 5√ 1! 8√
79 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 12√ 1! 5√ 1! 10√
80 : 4  2! 4√ 1! 4√ 1! 6√ 1! 8√ 1! 14√
81 : 4  2! 5√ 1! 1√ 1! 1√ 1! 11√ 1! 9√
82 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 4√ 1! 9√ 1! 7√ 1! 7√
83 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 14√
84 : 4  2! 5√ 1! 2√ 3! 10√ 1! 5√ 1! 6√ 1! 8√ 1! 10√ 1! 9√ 1! 9√ 1! 13√
